country,incomeperperson,alcconsumption,lifeexpectancy,suicideper100th
Afghanistan, ,0.03,48.673,6.6843853
Albania,1914.996551,7.29,76.918,7.699329853
Algeria,2231.993335,0.69,73.131,4.848769665
Andorra,21943.3399,10.17, ,5.362178802
Angola,1381.004268,5.57,51.093,14.55467701
Antigua and Barbuda,11894.46407,8.17, ,2.1618433
Argentina,10749.41924,9.35,75.901,7.765584
Armenia,1326.741757,13.66,74.241,3.741587877
Aruba, , ,75.246, 
Australia,25249.98606,10.21,81.907,8.470030125
Austria,26692.98411,12.4,80.854,13.09437
Azerbaijan,2344.896916,13.34,70.739,1.380964637
Bahamas,19630.54055,8.65,75.62,3.374415874
Bahrain,12505.21254,4.19,75.057,4.414990425
Bangladesh,558.0628766,0.17,68.944,14.53835678
Barbados,9243.587053,6.42,76.835,3.108602524
Belarus,2737.670379,18.85,70.349,26.8746903
Belgium,24496.04826,10.41,80.009,15.95385
Belize,3545.652174,5.92,76.072,9.388795853
Benin,377.0396995,2.08,56.081,6.057739735
Bermuda,62682.14701, , , 
Bhutan,1324.194906,0.54,67.185,15.54260254
Bolivia,1232.794137,5.78,66.618,2.034178495
Bosnia and Herzegovina,2183.344867,9.6,75.67,11.8367157
Botswana,4189.436587,6.97,53.183,11.21397018
Brazil,4699.411262,10.08,73.488,4.777007
Brunei,17092.46,1.86,78.005,1.370001554
Bulgaria,2549.558474,11.4,73.371,9.216544
Burkina Faso,276.200413,7.32,55.439,8.204221725
Burundi,115.3059959,9.65,50.411,14.68093586
Cambodia,557.9475126,4.71,63.125,4.961071491
Cameroon,713.6393027,7.9,51.61,7.214220524
Canada,25575.35262,10.2,81.012,10.10099
Cape Verde,1959.844472,4.98,74.156,5.633333683
Cayman Islands, , , , 
Central African Rep.,239.5187494,3.17,48.398,13.54841995
Chad,275.8842865,4.39,49.553,8.283070564
Chile,6334.105194,8.81,79.12,10.17187
China,2425.471293,5.56,73.456,16.91324806
Colombia,3233.42378,6.59,73.703,4.907702
Comoros,336.3687495,0.28,61.061,4.751083851
"Congo, Dem. Rep.",103.7758572,3.39,48.397,14.71302032
"Congo, Rep.",1253.292015,4.46,57.379,9.873761177
Cook Islands, ,3.23, ,4.373364925
Costa Rica,5188.900935,5.81,79.311,6.597168
Cote d'Ivoire,591.0679443,6.47,55.377,20.31793022
Croatia,6338.494668,15,76.64,14.77625
Cuba,4495.046262,5.12,79.143,10.57191
Cyprus,15313.85935,8.84,79.591,2.206169
Czech Rep.,7381.312751,16.47,77.685,12.36798
Denmark,30532.27704,12.02,78.826,8.973104
Djibouti,895.3183396,1.87,57.937,4.993475914
Dominica,6147.77961,8.68, ,5.835250854
Dominican Rep.,4049.169629,6.28,73.396,6.519536972
Ecuador,1728.020976,9.43,75.632,8.504684448
Egypt,1975.551906,0.32,73.235,1.799903631
El Salvador,2557.433638,3.99,72.196,7.304886
Equatorial Guinea,8654.536845,6.12,51.088,10.12934971
Eritrea,131.796207,1.64,61.597,8.913362503
Estonia,6238.537506,17.24,74.825,16.95924
Ethiopia,220.8912479,4.1,59.274,10.07194233
Faeroe Islands, , , , 
Fiji,2230.676374,2.76,69.245,3.94025898
Finland,27110.73159,13.1,79.977,16.23437
France,22878.46657,12.48,81.539,14.09153
French Polynesia, , ,75.133, 
Gabon,4180.765821,9.46,62.703,7.745064735
Gambia,354.5997263,3.58,58.491,6.449156761
Georgia,1258.762596,6.66,73.737,1.574350119
Germany,25306.18719,12.14,80.414,9.211085
Ghana,358.9795398,3.11,64.228,6.288554668
Gibraltar, , , , 
Greece,13577.87989,11.01,79.915,2.816705
Greenland,20751.89342, , , 
Grenada,5330.401612,10.71,75.956,3.576478243
Guadeloupe, , ,79.839, 
Guam, , ,76.142, 
Guatemala,1860.753895,7.1,71.172,2.234896
Guinea,411.5014473,0.79,54.097,7.443826199
Guinea-Bissau,161.3171371,3.9,48.132,7.563692093
Guyana,1200.652075,8.7,69.927,35.75287247
Haiti,371.4241975,5.92,62.095,1.519248009
Honduras,1392.411829,4.43,73.126,7.060184479
"Hong Kong, China",35536.07247, ,82.759, 
Hungary,5634.003948,16.12,74.414,20.16201
Iceland,33945.31442,7.38,81.804,11.42618084
India,786.7000981,2.69,65.438,18.58382607
Indonesia,1143.831514,0.56,69.366,11.39611149
Iran,2161.54651,1.03,72.974,6.021882057
Iraq,736.2680538,0.47,69.042,17.03264618
Ireland,27595.09135,14.92,80.557,10.36507
Israel,22275.75166,2.52,81.618,5.931845
Italy,18982.26929,9.72,81.855,4.930044509
Jamaica,3665.348369,5.17,73.127,4.417507172
Japan,39309.47886,7.79,83.394,18.94693
Jordan,2534.00038,0.65,73.403,0.201448724
Kazakhstan,2481.718918,11.1,67.017,25.4046
Kenya,468.6960436,3.88,57.134,10.93771839
Kiribati,760.262365,2.7, , 
"Korea, Dem. Rep.", , ,68.846,4.735673428
"Korea, Rep.",16372.49978,19.15,80.642,22.40456
Kuwait, ,0.1,74.576,1.498057424
Kyrgyzstan,372.728414,4.72,67.714,9.875281
Laos,554.8798401,6.99,67.484,26.21919823
Latvia,5011.219456,13.45,73.339,20.36959
Lebanon,6746.612632,2.3,72.64,5.83831501
Lesotho,495.7342469,5.56,48.196,7.858619213
Liberia,155.0332312,5.07,56.786,7.1848526
Libya,7885.468037,0.1,74.788,4.667024612
Liechtenstein,81647.10003, , , 
Lithuania,5332.238591,16.3,72.231,33.34186
Luxembourg,52301.58718,12.84,79.963,12.40591812
"Macao, China",33923.31387, ,80.934, 
"Macedonia, FYR",2221.185664,8.94,74.847,7.876878262
Madagascar,242.6775342,1.32,66.718,5.767406464
Malawi,184.1417966,1.44,54.21,10.17173481
Malaysia,5184.709328,0.87,74.221,8.2110672
Maldives,4038.857818, ,76.848,22.35347939
Mali,269.8928811,0.99,51.444,8.262892723
Malta,11066.78414,4.1,79.634,4.551121235
Marshall Islands,2437.282445, , ,7.202383518
Martinique, , ,80.499, 
Mauritania,609.1312059,0.11,58.582,6.882952213
Mauritius,5182.143721,3.53,73.373,8.08154
Mexico,6105.280743,8.55,76.954,4.288574
"Micronesia, Fed. Sts.",2146.358593,5.25,68.978,4.762269974
Moldova,595.8745345,23.01,69.317,15.53849
Monaco,105147.4377, , ,11.1510725
Mongolia,772.9333448,3.41,68.498,13.08961582
Montenegro,2222.335052, ,74.573, 
Morocco,1844.351028,1.24,72.15,2.109413624
Mozambique,389.7636343,2.27,50.239,10.55037498
Myanmar, ,0.58,65.193,10.11499691
Namibia,2667.24671,12.09,62.465,8.021969795
Nauru, ,4.81, ,4.079525471
Nepal,268.2594495,2.42,68.795,11.65520954
Netherlands,26551.84424,9.75,80.734,8.164005
Netherlands Antilles, , ,76.652, 
New Caledonia, , ,76.521, 
New Zealand,14778.16393,9.99,80.654,12.17976
Nicaragua,948.355952,5.21,74.044,12.12226868
Niger,180.083376,0.34,54.675,9.257975578
Nigeria,544.5994767,12.72,51.879,7.631049633
Niue, ,8.69, ,4.217076302
Norway,39972.35277,8.35,81.097,10.823
Oman,11191.81101,0.92,72.974,3.716739416
Pakistan,668.547943,0.05,65.437,12.86981487
Palau,6243.571318,9.86, ,5.554276466
Panama,5900.616944,7.3,76.128,6.1052819
Papua New Guinea,744.2394132,3.64,62.791,11.95694065
Paraguay,1621.177078,7.91,72.477,4.409532
Peru,3180.430612,6.53,73.99,1.658907771
Philippines,1383.401869,6.08,68.749,1.922485113
Poland,6575.745044,14.43,76.126,13.63706
Portugal,11744.83417,13.89,79.499,8.188375473
Puerto Rico,15822.11214, ,79.158, 
Qatar,33931.83208,1.29,78.371,2.515720844
Reunion, , ,77.653, 
Romania,2636.7878,16.15,73.979,10.05932
Russia,2923.144355,16.23,68.823,27.87416
Rwanda,338.2663912,9.99,55.442,13.11794853
Saint Kitts and Nevis,9175.796015,10.62, , 
Saint Lucia,5248.582321,12.05,74.641,8.21094799
Saint Vincent and the Grenadines,4885.046701,4.99,72.283,9.593027115
Samoa,1784.071284,4.51,72.444,5.542323589
San Marino,31993.20069, , ,6.087670803
Sao Tome and Principe, ,8.45,64.666,10.49314976
Saudi Arabia,9425.32587,0.34,73.911,6.401537895
Senegal,561.7085848,0.51,59.318,6.81143856
Serbia,1194.711433,12.21,74.522,13.71634
Serbia and Montenegro, , , ,14.46964836
Seychelles,8614.120219,12.11, ,9.507927895
Sierra Leone,268.3317903,9.48,47.794,11.98049736
Singapore,32535.83251,1.54,81.126,9.127511
Slovak Republic,8445.526689,13.31,75.446,10.64574
Slovenia,12729.4544,14.94,79.341,19.42261
Solomon Islands,1144.102193,1.37,67.852,4.484752655
Somalia, ,0.5,51.219,29.86416435
South Africa,3745.649852,10.16,52.797,15.714571
Spain,15461.75837,11.83,81.404,5.888479
Sri Lanka,1295.742686,0.81,74.941,28.10404587
Sudan,523.9501515,2.56,61.452,9.709555626
Suriname,2668.020519,6.56,70.563,20.7474308
Swaziland,1810.230533,5.05,48.718,12.87222195
Sweden,32292.48298,9.5,81.439,11.11583
Switzerland,37662.75125,11.41,82.338,13.23981
Syria,1525.780116,1.49,75.85,0.523527563
Taiwan, , , , 
Tajikistan,279.1804526,3.39,67.529,2.648980856
Tanzania,456.3857117,7.86,58.199,12.41118145
Thailand,2712.517199,7.08,74.126,9.847459793
Timor-Leste,369.5729537,0.74,62.475,9.633114815
Togo,285.2244493,1.92,57.062,6.369887829
Tonga,2025.282665,3.92,72.317,4.527851582
Trinidad and Tobago,10480.8172,6.16,70.124,14.54716682
Tunisia,3164.927693,1.05,74.515,3.146814108
Turkey,5348.597192,3.02,73.979,3.56332469
Turkmenistan,2062.125152,5,64.986,12.21676922
Tuvalu,1714.94289,2.14, ,7.934811592
Uganda,377.4211133,16.4,54.116,12.28912163
Ukraine,1036.830725,17.47,68.494,18.95457
United Arab Emirates,21087.39412,0.52,76.546,1.392950654
United Kingdom,28033.48928,13.24,80.17,6.014659
United States,37491.17952,9.7,78.531,9.927033
Uruguay,9106.327234,8.99,77.005,14.53727
Uzbekistan,952.8272608,3.61,68.287,5.21372
Vanuatu,1543.956457,0.96,71.017,4.983421803
Venezuela,5528.363114,7.6,74.402,4.11962
Vietnam,722.8075588,3.91,75.181,11.65332222
West Bank and Gaza, , ,72.832, 
"Yemen, Rep.",610.3573673,0.2,65.493,6.265789032
Zambia,432.226337,3.56,49.025,12.01903629
Zimbabwe,320.7718899,4.96,51.384,13.90526676
